96935	
	(0.01342131367,0.00741277447)	(-0.01461601439,0.01619015965)	(0.01610067761,0.01489235795)	(-0.01124636781,0.01566087157)	(0.0154284794,0.01136057267)
	(-0.01240521821,0.01201427282)	(0.01190369553,0.01248073747)	(-0.01671846799,0.01401404659)	(0.01399761997,0.01702597305)	(-0.01559245952,0.01191839433)
	(0.01193526046,0.01582348728)	(0.003686362606,-0.001066683011)	(-0.02029770617,0.01828923497)	(0.01882041696,0.02075355436)	(-0.01547622562,0.01851048601)
	(0.01868603712,0.01568040876)	(-0.01773272831,0.02070885169)	(0.02127798542,0.01812888997)	(-0.01787196562,0.01626183226)	(0.01634835683,0.01812291616)
	(0.004398970444,-0.00160994442)	(-0.003091712409,0.01718307904)	(0.01701963011,0.003224184513)	(-0.005693033471,0.01871171704)	(0.01850743571,0.005884978133)
	(-0.008203918136,0.01771449451)	(0.01758258355,0.008350712124)	(-0.004704163166,0.01498176911)	(0.01484065044,0.004869910219)	(0.002334603188,-0.002461566142)
	(-0.003658780628,0.02125669419)	(0.02113030005,0.003804276069)	(-0.0007615375104,0.02154721929)	(0.02137317061,0.0009288221507)	(0.002808726802,0.01906318)
	(0.01879669092,-0.002683037566)	(3.248776759e-005,0.01497302165)	(0.0145735475,-5.73935834e-005)	(0.002076685884,0.02144358027)	(0.02130668913,-0.00205709627)
	(-0.00108247349,0.01927672926)	(0.01913636872,0.001177998557)	(0.002240292532,-0.003476851838)	(0.003062190745,0.01464655718)	(0.01425802425,-0.00298253108)
	(-0.02568973654,0.01647745715)	(0.01783995511,0.02685021665)	(-0.02006829222,0.02291729762)	(0.02443088218,0.02079357252)	(-0.02569603178,0.02173570557)
	(0.02458422944,0.02690665972)	(-0.0226168165,0.02481336519)	(0.02770878019,0.0234393351)	(-0.02843735387,0.01797315286)	(0.02076070064,0.03008139838)
	(-0.02292417949,0.02021663342)	(0.02163202037,0.02383680397)	(0.005584490668,-0.002016538173)	(-0.03036974098,0.004340859732)	(0.005249597712,0.03184887805)
	(0.00554364511,0.001242556067)	(-0.02795802621,0.01241562577)	(0.01355920209,0.02921824192)	(0.005799837703,-0.0003239536086)	(-0.03532919008,0.007884311387)
	(0.01219858156,0.0395544718)	(-0.02939550053,0.008467349092)	(0.009509248059,0.03086160173)	(-0.03349704564,0.003466719944)	(0.00549803692,0.03623541774)
	(-0.03261984058,0.008066803995)	(0.01032216391,0.03507073456)	(-0.03092124492,0.0134216611)	(0.01600722245,0.0329156575)	(-0.03072680251,0.0003829566889)
	(0.001126277913,0.03236618253)	(-0.02984106045,-0.007853433857)	(-0.00745598995,0.03168295168)	(-0.03376326588,-0.0008038401648)	(0.0007562751125,0.03675760663)
	(-0.03347689462,-0.005035205303)	(-0.003722352746,0.03666252202)	(-0.03059833994,-0.003711763952)	(-0.003059253107,0.03233468344)	(0.004980542725,0.002622031393)
	(0.001098208753,0.001705277679)	(0.001673596692,-0.001063420344)	(0.001471989651,0.001396533671)	(0.001395132297,-0.001446806994)	(0.0007176433956,0.001903320773)
	(0.001885006705,-0.0006741447591)	(0.002258827781,0.001367156463)	(0.001365785864,-0.002243847105)	(-6.365764181e-005,-0.0005801843975)	(0.00188334985,0.001860000967)
	(0.001849680376,-0.001864010564)	(0.002634702464,0.002081456833)	(0.002044872296,-0.002596165864)	(0.002980768319,0.001564186376)	(0.001534580442,-0.002968016073)
