96935	
	(-0.005199132472,0.0006360133658)	(-0.0003769197162,4.79464358e-005)	(-0.005214765114,0.0006380319466)	(-0.0003925408675,4.958783687e-005)	(-0.005256673363,0.0006431073675)
	(-0.0002619012029,3.35127643e-005)	(9.372662234e-006,-1.109082008e-006)	(-0.00520819396,0.0006370396611)	(-0.0003067050435,3.91693936e-005)	(-0.0003479783064,4.27375968e-005)
	(-0.005226508135,0.0006394515236)	(-0.0003073445713,3.892072516e-005)	(-0.005220436641,0.0006387216875)	(-0.0003338334816,4.239645675e-005)	(-0.005240276936,0.0006410148539)
	(-0.0002865389375,3.684660659e-005)	(-0.005247738895,0.0006420908885)	(-0.0002989786408,3.806776189e-005)	(-0.005447376769,0.0006674614713)	(-0.0001252420504,1.748766871e-005)
	(-0.005379761645,0.0006593223735)	(7.60916974e-007,1.998778444e-006)	(-0.005386772303,0.000660060932)	(-6.153656799e-005,9.637436319e-006)	(-0.005412343809,0.0006632624275)
	(-4.694274192e-005,7.866347283e-006)	(-0.0003560932199,4.359573486e-005)	(-0.005357571448,0.0006565499398)	(-8.707527953e-006,3.140281088e-006)	(-0.005316651385,0.0006515830958)
	(3.911376226e-005,-2.742537363e-006)	(-0.005401097366,0.0006619823648)	(4.997985154e-006,1.500641033e-006)	(-0.0003212949538,3.932707974e-005)	(-0.005367129118,0.000657819942)
	(2.932114602e-005,-1.502358986e-006)	(-0.005251605605,0.0006437137559)	(7.819634329e-005,-7.476350132e-006)	(-0.005326044779,0.0006528320382)	(6.013547752e-005,-5.270661637e-006)
	(-0.005399151174,0.0006617804881)	(1.963159516e-005,-2.83040604e-007)	(-0.005274156125,0.0006464813458)	(6.342356193e-005,-5.650329867e-006)	(-0.005365798603,0.0006577157597)
	(3.416546667e-005,-2.055267693e-006)	(-0.0003047320939,3.729181617e-005)	(-0.004811021352,0.0005895978385)	(0.0001288645903,-1.368900094e-005)	(-0.005099553267,0.0006250482337)
	(0.0001070114626,-1.1017635e-005)	(-0.004798537194,0.0005880669452)	(0.0001430757079,-1.544569618e-005)	(-0.005121923185,0.0006277941742)	(9.343430534e-005,-9.338557752e-006)
	(-0.0002711681162,3.317699192e-005)	(-0.005290116604,0.0006484029917)	(8.23622412e-005,-8.041167649e-006)	(-0.005258389163,0.0006445318921)	(9.629294753e-005,-9.739955234e-006)
	(-0.005281479501,0.0006473653026)	(8.328106785e-005,-8.129230413e-006)	(-0.005330585082,0.0006533408437)	(5.149444833e-005,-4.24183738e-006)	(-0.0002838715843,3.474450444e-005)
	(-0.00515322615,0.0006316357846)	(0.0001293498453,-1.380899387e-005)	(-0.005131778312,0.0006290036138)	(0.0001409544419,-1.524640408e-005)	(-0.005189576321,0.0006360844029)
	(0.0001299095819,-1.390818509e-005)	(-0.005286183238,0.0006478760595)	(6.733768862e-005,-6.217710904e-006)	(-0.005113777719,0.0006267960536)	(0.0001504931237,-1.643077176e-005)
	(-0.00522412612,0.0006403262916)	(0.0001153256876,-1.210025642e-005)	(-0.0002420049514,2.961434221e-005)	(-0.005251262572,0.0006435909374)	(8.317374482e-005,-8.181346181e-006)
	(-0.004271393935,0.0005232652606)	(0.0001544099864,-1.681426522e-005)	(-0.004251512138,0.0005208278817)	(0.0001832860851,-2.038478914e-005)	(-0.003337910812,0.000408498489)
	(0.0002134766476,-2.408548427e-005)	(-0.003354426987,0.0004105311301)	(0.0002247380647,-2.547947037e-005)	(-0.0033346361,0.0004080937238)	(0.0001990864657,-2.230627277e-005)
	(-0.004256725235,0.0005214656641)	(0.0001708919934,-1.885160922e-005)	(-0.0002360840891,2.887432831e-005)	(-0.004305071716,0.0005273954356)	(0.0001032541892,-1.049590213e-005)
	(-0.0002697525594,3.299425341e-005)	(-0.004288680706,0.0005253867279)	(0.0001364508572,-1.459578998e-005)	(-0.0002540124971,3.106815064e-005)	(-0.001820810628,0.0002219517929)
	(0.0002116588631,-2.383148815e-005)	(-0.00429610826,0.0005262967723)	(0.0001208510468,-1.266834746e-005)	(-0.003342339052,0.0004090346306)	(0.0001456368014,-1.570363136e-005)
	(-0.003355289935,0.0004106288219)	(0.0001618985911,-1.771205285e-005)	(-0.003335599985,0.0004082101816)	(0.000182881592,-2.030330853e-005)	(-0.004305197729,0.000527408022)
	(8.704258741e-005,-8.494121537e-006)	(-0.004312821859,0.000528339371)	(5.195606731e-005,-4.163320305e-006)	(-0.003327558312,0.0004072162132)	(0.0001311804957,-1.391756551e-005)
	(-0.003310596068,0.0004051291645)	(0.0001146450465,-1.187680358e-005)	(-0.00430707555,0.000527635729)	(6.987623759e-005,-6.375261651e-006)	(-0.0002848814228,3.48457119e-005)
	(-0.005940849697,0.0007274863253)	(-0.001412849372,0.000175936556)	(-0.005918004858,0.0007246849495)	(-0.001334380417,0.0001662849624)	(-0.005958927864,0.0007297031394)
	(-0.001492249905,0.000185700517)	(-0.005952884733,0.0007290615355)	(-0.001231192678,0.0001536072937)	(-0.001256053592,0.0001538584793)	(-0.005977058835,0.0007320267789)
