96935	
	(0.002869024115,-0.0006231282)	(0.00205666377,0.003656177967)	(0.003848748937,-0.002075701127)	(0.001321470464,0.002456314525)	(0.002685618209,-0.001320199277)
	(-0.0002344824179,-0.001154759076)	(0.0009026705545,0.003363576012)	(0.003584627673,-0.0008540130367)	(-0.0001918326456,-1.765293791e-005)	(2.067204597e-005,-2.998104897e-005)
	(-0.0001884342771,-2.075844947e-005)	(-5.612973515e-006,-3.258873646e-005)	(-0.0001849277437,-1.598997345e-005)	(4.70028148e-005,-3.324629741e-006)	(-0.0001933479153,-1.937771814e-005)
	(1.322904634e-006,-1.945977824e-005)	(-2.178441374e-006,-1.0269455e-006)	(-0.0001920874497,-1.739639913e-005)	(1.459730859e-005,-1.671183028e-005)	(-0.0001961150069,-2.623292297e-005)
	(-3.341069204e-006,-1.935069917e-005)	(-0.0001938540912,-1.442267908e-005)	(1.618921907e-005,-1.833694482e-005)	(-0.0001555025113,-2.261439349e-005)	(0.0001677302093,9.551180403e-005)
	(-0.0001457272917,-1.774063671e-005)	(0.0002119700553,4.330409048e-005)	(-0.0001277816912,-1.413462511e-005)	(0.0002219670474,4.246782176e-005)	(-1.099793452e-005,-0.001058466947)
	(-0.000144392383,-1.852444287e-005)	(0.0001706074143,9.539898428e-005)	(-0.0001627742875,-2.499712632e-005)	(0.000165256163,8.821232158e-005)	(-0.0001577780207,-2.045960288e-005)
	(0.0001959079239,3.806701613e-005)	(1.499812509e-005,-0.001121348856)	(-0.000165012614,-2.178025481e-005)	(0.0001686624111,7.239470064e-005)	(-0.0001636909318,-2.309402165e-005)
	(0.0001867920746,2.895194138e-005)	(-0.0001721045942,-2.195601989e-005)	(0.000166066761,6.676772698e-005)	(-0.0001715019705,-2.403132327e-005)	(8.290496028e-005,0.0001267486087)
	(-0.0001700919064,-1.710963487e-005)	(9.610490223e-005,0.0001337725573)	(-0.0001597803362,-2.012158826e-005)	(0.0001511634785,0.0001169007718)	(-0.0001495597502,-9.317494926e-006)
	(0.0001620088777,0.0001173704698)	(2.760301774e-005,-0.0011827836)	(-0.000187393976,-6.806866801e-005)	(8.383334534e-007,4.018823429e-005)	(-0.0001838005843,-4.287534771e-005)
	(2.10273885e-005,7.727879783e-005)	(-0.0001926440375,-4.457753788e-005)	(2.735069017e-005,9.650566017e-005)	(-0.0001737158782,-2.592784682e-005)	(6.462797876e-005,9.864010636e-005)
	(-0.0001781168018,-2.797944882e-005)	(5.755364539e-005,0.0001136459664)	(5.778753453e-005,-0.00127622963)	(-0.0001955185735,-5.481169604e-006)	(4.024916172e-005,2.88923089e-005)
	(-0.0001766828766,-2.946982823e-005)	(-3.238809037e-005,1.077861671e-005)	(-0.0001576949644,-2.533019564e-005)	(5.616325578e-005,-5.115494888e-005)	(-0.000158202158,-4.520139408e-006)
	(9.085182528e-005,-6.539074047e-005)	(-0.0001707433673,-1.652983765e-005)	(0.0001555679078,-1.972563056e-005)	(-0.0001651477225,-1.824591119e-005)	(0.0001127803797,-4.590010933e-005)
	(-0.0001671899773,-1.901567314e-005)	(0.0001737305599,1.148745606e-005)	(3.873220885e-005,-0.001180695619)	(-0.0001799339011,-1.925488817e-005)	(0.0001639331725,5.858318859e-005)
	(-0.0001506316613,-1.095582521e-005)	(0.0001262974769,-6.781770939e-005)	(9.397529715e-006,-0.001028259957)	(-0.0001644057399,-1.702471257e-005)	(0.0001519276563,-1.99692188e-005)
	(-0.0001847373109,-2.259949693e-005)	(0.0001563764576,2.85285775e-005)	(-0.0001685934934,-0.0001096631348)	(-1.885766905e-005,-2.017488857e-005)	(-0.000203549513,-8.703609492e-005)
	(-2.245308171e-005,5.831891041e-005)	(7.527306198e-005,-0.00125869037)	(-0.0001837391406,-8.161981159e-005)	(-1.519225731e-005,7.923345271e-006)	(-0.0002141481808,-0.0001253072469)
	(-5.157205944e-005,5.570789392e-005)	(-0.000158531457,-6.636332458e-005)	(3.333828624e-005,-7.21930179e-005)	(-0.0001687434401,-7.70271722e-005)	(4.623973383e-006,-3.474876676e-005)
	(9.453809843e-005,-0.001390725843)	(-0.0001508308544,-9.145605641e-005)	(7.516391586e-006,-6.894043663e-005)	(-0.00017636417,-6.61490588e-005)	(7.787569826e-006,4.508810816e-006)
