96935	
	(0.02351165946,0.02650256517)	(0.02766484484,-0.02672065918)	(0.02781668145,0.02226777799)	(0.02285262415,-0.03111255774)	(0.01519725,0.02834970276)
	(0.02949070062,-0.01664433145)	(0.006937082403,0.03142713977)	(0.03290817728,-0.008161769076)	(0.01557970837,0.03188170283)	(0.03386233451,-0.01839165462)
	(0.01139583434,0.03363074142)	(0.0358969027,-0.01407334163)	(0.01123632072,0.0301829453)	(0.03145072379,-0.01264896974)	(-3.332374627e-005,-0.005897152388)
	(0.0009972594769,-0.001628664157)	(-0.001576860128,-0.0009873407417)	(0.000579380411,-0.001830351767)	(-0.001799068711,-0.0005929793271)	(0.001320598714,-0.001377976555)
	(-0.001324565487,-0.001325700964)	(0.0002346864395,-0.002505299236)	(-0.002482236129,-0.0002448236563)	(-0.0005057174149,0.0003134198902)	(0.0008179997404,-0.002374996493)
	(-0.002345821805,-0.0008211712792)	(0.0007096176291,-0.003123253762)	(-0.003065602153,-0.0006977663638)	(0.0001137992665,-0.003220008809)	(-0.003187171433,-9.87001121e-005)
	(0.001837497192,-0.0008214409449)	(-0.0008139009047,-0.001816742879)	(0.001567575831,-0.001130077974)	(-0.001078942234,-0.00159187439)	(-0.006206365771,0.02919177999)
	(0.03570554399,-0.008120998897)	(-0.004528934838,0.02958544417)	(0.0353278133,-0.01015221113)	(0.0006636956934,-0.004044628121)	(-0.003991893617,-0.000668157932)
	(0.0002403854256,-0.005106483665)	(-0.005048871751,-0.0002578281997)	(-0.0006356512693,-0.005130559782)	(-0.005084855215,0.0006434987998)	(-9.020642728e-005,-0.004094208753)
	(-0.004047058893,9.568451222e-005)	(-0.0006073841316,0.000603606749)	(-0.006025212607,-0.006552177726)	(-0.006505238156,0.006054263165)	(-0.005032675468,-0.005249402377)
	(-0.005227855913,0.005028201531)	(-0.004076619783,-0.006796680372)	(-0.006719924855,0.004082389892)	(-0.006725914367,-0.004678378783)	(-0.004608652149,0.006721188573)
	(0.0003868404809,0.001333411161)	(-0.003419609215,-0.005494383463)	(-0.005406708402,0.003407377507)	(-0.0002344158811,0.001142594841)	(-0.002475750511,-0.005981391739)
	(-0.005906521595,0.002485902455)	(-0.007468829058,-0.005792669914)	(-0.00566079505,0.007431112678)	(-0.00889124438,-0.008478149235)	(-0.008420242553,0.008932789386)
	(-0.009497633182,-0.005953840335)	(-0.005893488895,0.009495088253)	(-0.008173187302,-0.007105186749)	(-0.006958392816,0.008203527788)	(0.0003950489241,0.001852759704)
