96935	
	(-0.005746620931,-0.01421444281)	(0.02155167801,-0.003355747578)	(-0.003112084692,-0.02170980391)	(0.01860215531,-0.005068822879)	(-0.004816416394,-0.01854433175)
	(0.01720324713,-0.001507469222)	(-0.001374013938,-0.01719217197)	(0.02181218568,-0.0003411759061)	(-0.0001345849789,-0.02204054978)	(0.01961711089,0.0005759576876)
	(0.0007084973316,-0.01980708864)	(-0.00353411885,-0.001495547541)	(0.02728554339,-0.001403987848)	(-0.001529006917,-0.02797424343)	(0.02368202603,-0.004614836958)
	(-0.004622406221,-0.02395119071)	(0.02681945598,-0.004899132613)	(-0.005091236566,-0.02748574335)	(0.02412449253,-0.001359086333)	(-0.001268064415,-0.02437384687)
	(-0.004429754624,-0.001522978774)	(0.01323108238,-0.01139060332)	(-0.0111802056,-0.01323090011)	(0.01621405402,-0.01093762871)	(-0.01065804516,-0.01623430299)
	(0.01753471127,-0.00858080362)	(-0.008385860782,-0.01756552437)	(0.01309530782,-0.008665335071)	(-0.008451298155,-0.01313503153)	(-0.003363957352,0.0004393598601)
	(0.01623899788,-0.0141955604)	(-0.01400572039,-0.01627228354)	(0.01417296017,-0.01624729678)	(-0.01600672874,-0.01419312456)	(0.009835579561,-0.01656933046)
	(-0.0162832191,-0.009765186773)	(0.009412679599,-0.01164417017)	(-0.0113497425,-0.009141553863)	(0.01190429034,-0.01795583756)	(-0.01783721108,-0.01183321983)
	(0.01299096472,-0.01428239771)	(-0.01411321279,-0.01297665462)	(-0.003930699472,0.001286983321)	(0.006854911708,-0.01330042625)	(-0.01294858395,-0.006671859733)
	(0.03032944103,0.00340123618)	(0.003075002794,-0.03208915835)	(0.03002461168,-0.005141421586)	(-0.005859264059,-0.03154171276)	(0.03364870556,-0.0006768511845)
	(-0.002125095512,-0.03638404225)	(0.03319818524,-0.005006975037)	(-0.006736257764,-0.03566178434)	(0.03340521354,0.003971985501)	(0.002844271887,-0.03643858122)
	(0.03053938667,-0.00124473061)	(-0.001768252622,-0.03214002879)	(-0.005606373279,-0.001954592805)	(0.02631262542,0.01577296901)	(0.01599985603,-0.02803370148)
	(-0.003520388523,-0.004458924718)	(0.02953008325,0.007984248241)	(0.007890833812,-0.0312292343)	(-0.004706678656,-0.003404305617)	(0.03239621084,0.01614816129)
	(0.01546225763,-0.03839577238)	(0.02815732789,0.01195542647)	(0.01207072074,-0.02995221989)	(0.02818940218,0.01842277833)	(0.01857192317,-0.0315956371)
	(0.0304079497,0.01429874157)	(0.01409275273,-0.03373223223)	(0.03246458892,0.009071023952)	(0.008320962609,-0.03564263417)	(0.02409506071,0.01907061524)
	(0.01952692289,-0.02583626856)	(0.0182158574,0.02490635561)	(0.02575882104,-0.0198962605)	(0.02570424315,0.02190588552)	(0.02258217576,-0.02901218024)
	(0.02281480423,0.02501025597)	(0.02599907357,-0.02611538254)	(0.02141433653,0.02216843976)	(0.02275636343,-0.0231735772)	(-0.002213730804,-0.005174895477)
	(0.0002223358935,-0.002016092483)	(-0.001969558757,-0.000229388939)	(-0.0002624527779,-0.002012014184)	(-0.001995044718,0.0002437706488)	(0.0006426128247,-0.001929954086)
	(-0.001888304579,-0.0006648530084)	(-0.0008918130192,-0.002485179849)	(-0.002474668087,0.0008810318665)	(-0.000316301493,0.0004905005585)	(-0.0002896624308,-0.002631110729)
	(-0.002610900729,0.0002811385849)	(-0.0007333656289,-0.003276636235)	(-0.003223938117,0.0007264935387)	(-0.00132807887,-0.003093203036)	(-0.003062177419,0.001336825648)
	(0.001391413931,-0.001652132707)	(-0.001639172555,-0.001368935929)	(0.0009925328656,-0.001813361998)	(-0.00178301537,-0.001031134738)	(0.01356952263,0.03090521484)
	(0.02705101201,-0.03190052835)	(0.01532888276,0.03014705568)	(0.02532561022,-0.03343992932)	(-0.001197455308,-0.004105966132)	(-0.004064095414,0.001178493812)
	(-0.002071637569,-0.004886771536)	(-0.004846835858,0.002039899333)	(-0.002882545839,-0.004508789864)	(-0.004469332901,0.002879443969)	(-0.001912966678,-0.003807388718)
	(-0.00376785045,0.001907032814)	(-0.0002800459245,0.0008029610839)	(-0.008399536094,-0.003392486312)	(-0.003341261374,0.008416475883)	(-0.006930709705,-0.0026574872)
	(-0.002643456682,0.00692908874)	(-0.006753504892,-0.004477300458)	(-0.00441011349,0.006736846575)	(-0.008205362567,-0.001399065437)	(-0.001342821764,0.008182782663)
	(0.0009409896265,0.001023557521)	(-0.005580554462,-0.003591884769)	(-0.003523546332,0.005542094372)	(0.0002990156708,0.001124445592)	(-0.004941050965,-0.004455465618)
